row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:This,9:sentence,10::,"11:""",12:the,13:notificati…,14:was,15:first,16:reported,17:fr,18:iday,19:by,20:ms,21:nb,22:c,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
"L16-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.85518271,0.00302047,0.00020580,0.00065568,0.01748540,0.08514485,0.00204734,0.00118714,0.00144043,0.00045715,0.00094584,0.00130583,0.00120382,0.00743761,0.00102428,0.00053030,0.00036597,0.01125402,0.00196890,0.00076073,0.00095481,0.00037737,0.00504360
L16-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91219463,0.00393660,0.00243489,0.00840295,0.01999297,0.01792167,0.00071405,0.00033748,0.00147344,0.00175326,0.00233524,0.00220301,0.00694558,0.00461353,0.00081267,0.00101774,0.00032877,0.00260554,0.00307058,0.00331911,0.00128538,0.00129222,0.00100872
L17-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.51784211,0.01166006,0.01210571,0.02373105,0.02157295,0.03652851,0.05576783,0.03132779,0.02974967,0.01994505,0.00842262,0.04522314,0.03107987,0.01277792,0.02082070,0.04709798,0.02633255,0.03220805,0.01580647,0.00000000,0.00000000,0.00000000,0.00000000
L17-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.54467970,0.00777776,0.01244633,0.01338840,0.01488290,0.00890760,0.02282132,0.00913933,0.01856009,0.04908429,0.01288820,0.06539142,0.04379647,0.01127069,0.01822202,0.03629105,0.04082706,0.03520401,0.02123915,0.01318226,0.00000000,0.00000000,0.00000000
L17-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.63504356,0.00606110,0.02703831,0.05215103,0.04025321,0.00774537,0.00816686,0.00368917,0.00578132,0.02676695,0.00927064,0.02499436,0.02203024,0.00599135,0.00652350,0.01070257,0.01771910,0.04588658,0.02801806,0.00809609,0.00807056,0.00000000,0.00000000
L17-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.61747855,0.01183525,0.01593345,0.01449545,0.01337928,0.01038232,0.03154728,0.00978306,0.01349458,0.01851716,0.00813613,0.01602898,0.04249523,0.00541669,0.00274940,0.00476250,0.02045330,0.02759518,0.02136523,0.01042057,0.00440781,0.07932260,0.00000000
"L17-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.37001050,0.00208850,0.00169269,0.00566716,0.01033555,0.00822775,0.05345135,0.02044449,0.04677497,0.04327251,0.01192823,0.20296176,0.05966138,0.01003305,0.02475721,0.03878404,0.02028768,0.01481614,0.00436446,0.00261688,0.00181591,0.00431878,0.04168902
L17-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.53701088,0.00788453,0.01384330,0.02188662,0.02008478,0.01435831,0.03435093,0.01487677,0.02287213,0.03151719,0.01012916,0.07091993,0.03981264,0.00909794,0.01461457,0.02752763,0.02512394,0.03114199,0.01815867,0.00686316,0.00285885,0.01672828,0.00833780
L18-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.64784968,0.01466901,0.00210438,0.00526820,0.01482133,0.03354454,0.00783211,0.01849329,0.01571282,0.00665460,0.01326573,0.13293697,0.01500300,0.02271729,0.00929603,0.01179090,0.01401514,0.01163503,0.00238989,0.00000000,0.00000000,0.00000000,0.00000000
L18-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81621164,0.01116721,0.00351768,0.00184088,0.00456901,0.01042954,0.00434170,0.00365219,0.00451196,0.00337088,0.00349930,0.06254762,0.00992383,0.01079807,0.01605283,0.02168730,0.00613821,0.00286044,0.00152048,0.00135926,0.00000000,0.00000000,0.00000000
L18-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.84574884,0.00236054,0.08544449,0.00542213,0.00347979,0.00129976,0.00838846,0.00203675,0.00105628,0.00586933,0.00175795,0.01623885,0.00448794,0.00129824,0.00130743,0.00291619,0.00466811,0.00135718,0.00386944,0.00020593,0.00078635,0.00000000,0.00000000
L18-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.84098089,0.01501305,0.00228622,0.00411138,0.00753635,0.04462541,0.00796462,0.00777976,0.00630923,0.00433718,0.01460671,0.01095096,0.00601259,0.00801714,0.00158576,0.00222155,0.00404991,0.00388366,0.00221098,0.00165966,0.00137537,0.00248157,0.00000000
"L18-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60870498,0.00109437,0.00030928,0.00057753,0.00243095,0.01178957,0.03069262,0.00386045,0.00526025,0.00592177,0.02007193,0.09512893,0.00399126,0.04448939,0.11255360,0.04185713,0.00789030,0.00160350,0.00006424,0.00012631,0.00028417,0.00006768,0.00122970
L18-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75189921,0.00886083,0.01873241,0.00344402,0.00656749,0.02033777,0.01184390,0.00716449,0.00657011,0.00523075,0.01064033,0.06356067,0.00788373,0.01746403,0.02815913,0.01609462,0.00735234,0.00426796,0.00201101,0.00067023,0.00048918,0.00050985,0.00024594
L19-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42380038,0.00787866,0.02135142,0.01238884,0.01502132,0.04736754,0.11503483,0.01554484,0.03900934,0.04226879,0.09842094,0.03986226,0.01450637,0.08106188,0.01161002,0.00470904,0.00310220,0.00447648,0.00258494,0.00000000,0.00000000,0.00000000,0.00000000
