row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:<blank>,9:<blank>,10:This,11:sentence,12::,"13:""",14:dru,15:ce,16:will,17:face,18:murder,19:charges,"20:,",21:conte,22:said,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
"L20-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.24628648,0.00058461,0.00110616,0.00435335,0.00310709,0.03142900,0.13759018,0.09092981,0.09160607,0.11952573,0.15718070,0.00843157,0.05858067,0.04010209,0.00193034,0.00220886,0.00281786,0.00067640,0.00017328,0.00015825,0.00122140
L20-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59409869,0.00228635,0.00341087,0.01280754,0.00690634,0.02746979,0.06486916,0.04655914,0.04092460,0.05972853,0.06390416,0.00486422,0.02707781,0.02247403,0.00255305,0.00773884,0.00895096,0.00099982,0.00074459,0.00138721,0.00024428
L21-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.58387518,0.00240182,0.00970285,0.00513151,0.00266315,0.08907741,0.01152857,0.02505898,0.02279473,0.05172442,0.06899256,0.00499455,0.10895934,0.00395424,0.00213760,0.00299312,0.00400991,0.00000000,0.00000000,0.00000000,0.00000000
L21-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87788415,0.00073997,0.00376416,0.00122900,0.00060736,0.00731151,0.00489262,0.00240630,0.00184617,0.02772990,0.02823975,0.00158479,0.03821669,0.00150221,0.00106100,0.00048597,0.00023481,0.00026359,0.00000000,0.00000000,0.00000000
L21-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95726573,0.00096225,0.00558530,0.00170657,0.00070568,0.00144671,0.00094979,0.00150271,0.00058324,0.00683087,0.01023779,0.00198321,0.00294983,0.00141074,0.00252319,0.00065387,0.00043880,0.00024785,0.00201595,0.00000000,0.00000000
L21-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77989960,0.00215673,0.00514361,0.00389543,0.00197392,0.06491115,0.00859438,0.01391556,0.00525275,0.02049939,0.04434939,0.00288660,0.03337528,0.00269824,0.00098365,0.00153767,0.00170249,0.00077535,0.00058703,0.00486179,0.00000000
"L21-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.47059056,0.00136424,0.00045881,0.00192843,0.00210520,0.16802198,0.01085184,0.03141823,0.01880397,0.09367456,0.10274190,0.00541405,0.07836003,0.00484748,0.00167822,0.00137712,0.00131049,0.00085844,0.00057093,0.00202218,0.00160138
L21-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.73390304,0.00152500,0.00493095,0.00277819,0.00161106,0.06615375,0.00736344,0.01486036,0.00985617,0.04009183,0.05091228,0.00337264,0.05237223,0.00288258,0.00167673,0.00140955,0.00153930,0.00042905,0.00063478,0.00137679,0.00032028
L24-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.76788974,0.00792443,0.02141679,0.03172361,0.01816394,0.03748200,0.01187652,0.01083764,0.00265436,0.01074766,0.00607033,0.01629094,0.00557384,0.00591137,0.01303074,0.01885859,0.01354752,0.00000000,0.00000000,0.00000000,0.00000000
L24-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.92199844,0.00224091,0.01404957,0.01059198,0.00571187,0.00219369,0.00035911,0.00060764,0.00070854,0.00180453,0.00059275,0.00192238,0.00121975,0.00262222,0.00244748,0.01146201,0.00510667,0.01436055,0.00000000,0.00000000,0.00000000
